posid,B CELLS/D90,B CELLS/M12,B CELLS/M6,BM_CD34/D0,NEUTROPHILS/D90,NEUTROPHILS/M12,NEUTROPHILS/M6,NK CELLS/D90,PBMC/D90,PBMC/M12,PBMC/M6,T CELLS/D90,T-CELLS/M12,T-CELLS/M6,WHOLE BLOOD/D90,WHOLE BLOOD/M12,WHOLE BLOOD/M6,patient
chr1-108824837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-108881880,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,2,0,p304G
chr1-108982508,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-109368819,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,p304G
chr1-109560737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-11020305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-110343708,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-1106114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-110661890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-1109533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-111162046,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-111455511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-111622983,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-111627068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-111629383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-111636292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-11170453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-11170845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,p304G
chr1-11180972,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-11217124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-112382534,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-11245592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-112624229,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,p304G
chr1-112635545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-112671662,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-113763706,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,p304G
chr1-113772490,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-113783677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-113796272,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-113851114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-114411409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-114742251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-115081634,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-116781581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-117442734,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-117458194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-117463351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,p304G
chr1-117463356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,p304G
chr1-11755478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-11807937,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-1189661,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-120057342,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-120329911,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-120463447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-120651846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-120764624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-12149322,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,p304G
chr1-121569886,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,p304G
chr1-12283761,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-12289205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-12339553,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,p304G
chr1-12453662,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-12462492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-1301055,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-1310567,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-13686937,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-13728168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-13737907,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-13759160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,p304G
chr1-1387116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-1387953,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p304G
chr1-144401812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-144954238,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,p304G
chr1-145775258,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-146200726,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-146542020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-147036135,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,p304G
chr1-147039333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-147042062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-147042185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-147042214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-147055007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-147104289,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-147144249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-147164688,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,p304G
chr1-147184651,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-147200588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-147212149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-147216920,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-147271100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-147548549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-147657866,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-147662579,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-147663254,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-147777512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-148511826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-148768271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-148927294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-149271910,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-149377578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-149423394,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-149440084,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-149455898,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-149610816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-149613154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-149613502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-149618757,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,p304G
chr1-149619181,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,p304G
chr1-149763967,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p304G
chr1-149925490,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150035899,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-150062833,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-150080999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-150084815,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-150085110,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1,1,p304G
chr1-150086692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-150087185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p304G
chr1-150092882,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,p304G
chr1-150100063,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,p304G
chr1-150119459,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,p304G
chr1-150120532,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,p304G
chr1-150122111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-150122347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-150126237,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,p304G
chr1-150129759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150132808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150181551,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150217323,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-150372389,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,p304G
chr1-150372920,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150376344,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150376651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150377624,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150377978,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-150383201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150392117,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-150393491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,p304G
chr1-150399181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150421103,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,p304G
chr1-150449099,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-150570446,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-150650833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-150652625,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,p304G
chr1-150666327,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-150676611,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-150676628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-150677292,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-150677386,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-150678709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150682164,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150694386,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,p304G
chr1-150705355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-150706993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-150711601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-150713140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150715421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150730913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-150739176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150745172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150761850,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150818488,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150844748,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-150847494,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,p304G
chr1-150862500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-150940549,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150989326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-150993656,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,p304G
chr1-151016935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-151017023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-151017042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-151032705,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p304G
chr1-151050285,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-151064946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-151067470,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-151068156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-151074421,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,p304G
chr1-151077156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,p304G
chr1-151110346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151111880,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-151152897,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-151219128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-15122405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,p304G
chr1-151229431,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,p304G
chr1-151261077,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,p304G
chr1-151268947,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-151355486,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-151360736,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-151371117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151379682,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151399071,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-151623144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-151626261,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-151630317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,p304G
chr1-151634733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,p304G
chr1-151635383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151639082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-151659343,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,p304G
chr1-151663692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151665388,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-151666470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151674055,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-151681025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-151878183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151889896,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-151936614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-151975058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,p304G
chr1-15239946,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-15255692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p304G
chr1-153529144,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-153615800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-153621680,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-153621814,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-153724615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-153757683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-153766843,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-153827346,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-153835172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-153838351,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-153839387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-153839526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p304G
chr1-153852996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-153857145,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,p304G
chr1-153869673,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-153886123,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-153887304,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-153887711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,p304G
chr1-153896347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-153896695,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-153905204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-153912259,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-153916765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-153955757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,p304G
chr1-153973888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,p304G
chr1-154026749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-154144769,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-154167432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-154186724,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-154218519,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,p304G
chr1-154222796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-154223036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,p304G
chr1-154225786,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-154238380,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,p304G
chr1-154244355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-154245472,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-154247374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-154247939,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,p304G
chr1-154248298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,p304G
chr1-154265700,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,p304G
chr1-154415211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-154448423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-154472099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-154512126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-154518413,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-154528128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,p304G
chr1-154614232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,p304G
chr1-154614375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-154622930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-154651351,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-154664609,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,p304G
chr1-154673410,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-1547114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-154783139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-154819477,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-154914323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-154953936,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-154965325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-154985956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-155008177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-155096391,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,p304G
chr1-155134076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
