posid,WHOLE BLOOD/UNS,patient
chr12-111559419,1,p304002
chr12-111559451,1,p304002
chr12-112078368,1,p304002
chr12-112088586,1,p304002
chr12-112315328,1,p304002
chr12-116201021,1,p304002
chr12-116264404,1,p304002
chr12-116273737,1,p304002
chr12-116935623,1,p304002
chr12-120692002,1,p304002
chr12-120844620,1,p304002
chr12-121258883,1,p304002
chr12-121551802,1,p304002
chr12-122069251,1,p304002
chr12-122413450,1,p304002
chr12-122518649,1,p304002
chr12-122601962,1,p304002
chr12-1228457,1,p304002
chr12-1228668,1,p304002
chr12-123053353,1,p304002
chr12-123121121,1,p304002
chr12-123322914,1,p304002
chr12-123859438,1,p304002
chr12-130603427,1,p304002
chr12-133187266,1,p304002
chr12-1756916,1,p304002
chr12-1766815,1,p304002
chr12-19159085,1,p304002
chr12-20308818,1,p304002
chr12-22484109,1,p304002
chr12-22519720,1,p304002
chr12-22519985,1,p304002
chr12-22815398,1,p304002
chr12-26965203,1,p304002
chr12-26965210,1,p304002
chr12-27273686,1,p304002
chr12-27564623,1,p304002
chr12-28238113,1,p304002
chr12-31098565,1,p304002
chr12-34019552,1,p304002
chr12-38313856,1,p304002
chr12-38586830,1,p304002
chr12-38687214,1,p304002
chr12-38847595,1,p304002
chr12-38887844,1,p304002
chr12-40365930,1,p304002
chr12-40727921,1,p304002
chr12-40775624,1,p304002
chr12-40960265,1,p304002
chr12-42408917,1,p304002
chr12-44569830,1,p304002
chr12-4668470,1,p304002
chr12-47663469,1,p304002
chr12-48075940,1,p304002
chr12-49411037,1,p304002
chr12-49897226,1,p304002
chr12-50438043,1,p304002
chr12-50452109,1,p304002
chr12-50596236,1,p304002
chr12-50660484,1,p304002
chr12-50665815,2,p304002
chr12-50768880,1,p304002
chr12-51123449,1,p304002
chr12-53391076,1,p304002
chr12-53398718,1,p304002
chr12-53558835,1,p304002
chr12-54501667,1,p304002
chr12-54876809,1,p304002
chr12-55802484,1,p304002
chr12-56679106,1,p304002
chr12-59700270,1,p304002
chr12-59810450,1,p304002
chr12-59960281,1,p304002
chr12-59980959,1,p304002
chr12-5999179,1,p304002
chr12-6002101,1,p304002
chr12-60023572,1,p304002
chr12-60917193,1,p304002
chr12-6111308,1,p304002
chr12-63977900,1,p304002
chr12-6455519,1,p304002
chr12-65343103,1,p304002
chr12-6572003,1,p304002
chr12-6676849,1,p304002
chr12-6848220,1,p304002
chr12-6880216,1,p304002
chr12-7010730,1,p304002
chr12-70331472,1,p304002
chr12-7059963,1,p304002
chr12-7205886,1,p304002
chr12-73471333,1,p304002
chr12-73733934,1,p304002
chr12-774806,1,p304002
chr12-79580421,1,p304002
chr12-79856931,1,p304002
chr12-79906284,2,p304002
chr12-79917748,1,p304002
chr12-800272,1,p304002
chr12-80608041,1,p304002
chr12-808228,2,p304002
chr12-80925540,1,p304002
chr12-81184098,1,p304002
chr12-82892575,1,p304002
chr12-83048483,1,p304002
chr12-85603936,1,p304002
