seqnames,start,end,width,strand,refGenome,reads,patient,sampleName,GTSP,timePoint,timePointDays,timePointMonths,dataSource,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr4,712782,713028,247,+,hg38,55,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr4+712782,TRUE,PCGF3,+,FALSE,TRUE,0,GAK,136491,-,RAP1GDS1,-97548592,+,WHOLE BLOOD
chr12,808034,808228,195,-,hg38,140,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-808228,TRUE,WNK1,+,FALSE,FALSE,0,RAD52,103506,-,CCND2,-3465506,+,WHOLE BLOOD
chr16,922405,922654,250,+,hg38,77,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+922405,TRUE,"LMF1,LMF1-AS1","-,+",FALSE,FALSE,0,LMF1,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,965448,965491,44,+,hg38,508,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+965448,TRUE,ARID3A,+,FALSE,TRUE,-0,PTBP1,153120,+,TCF3,643834,-,WHOLE BLOOD
chr12,1015940,1016049,110,-,hg38,4,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-1016049,TRUE,ERC1,+,FALSE,FALSE,0,ERC1,0,+,CCND2,-3257685,+,WHOLE BLOOD
chr12,1015940,1016130,191,-,hg38,86,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-1016130,TRUE,ERC1,+,FALSE,FALSE,0,ERC1,0,+,CCND2,-3257604,+,WHOLE BLOOD
chr20,1139143,1139376,234,-,hg38,104,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr20-1139376,TRUE,PSMF1,+,FALSE,FALSE,0,CSNK2A1,-595537,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,1210323,1210757,435,-,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-1210757,TRUE,STK11,+,FALSE,FALSE,0,STK11,0,+,TCF3,398525,-,WHOLE BLOOD
chr12,1320413,1320846,434,+,hg38,5,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12+1320413,TRUE,ERC1,+,FALSE,TRUE,-0,ERC1,-0,+,CCND2,-2953321,+,WHOLE BLOOD
chr17,1360376,1360568,193,-,hg38,86,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-1360568,TRUE,YWHAE,-,FALSE,TRUE,-0,YWHAE,-0,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,1578554,1578762,209,+,hg38,46,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+1578554,TRUE,IFT140,-,FALSE,FALSE,0,NME3,191764,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,1583637,1583772,136,+,hg38,121,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+1583637,TRUE,"IFT140,LOC105371046","-,+",FALSE,FALSE,0,NME3,186681,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,1690445,1690689,245,-,hg38,72,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16-1690689,TRUE,JPT2,+,FALSE,FALSE,-0,NME3,79629,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,1755430,1755621,192,+,hg38,13,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+1755430,TRUE,MAPK8IP3,+,FALSE,TRUE,-0,NME3,14888,-,None.found,Inf,None.found,WHOLE BLOOD
chr18,1823886,1824033,148,+,hg38,167,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr18+1823886,FALSE,LINC00470,-,FALSE,FALSE,-464256,YES1,-1011559,-,BCL2,61299458,-,WHOLE BLOOD
chr1,1828304,1828563,260,-,hg38,15,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr1-1828563,TRUE,GNB1,-,FALSE,TRUE,-0,CDK11A,-103997,-,LCK,-30422674,+,WHOLE BLOOD
chr1,1835267,1835536,270,+,hg38,51,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr1+1835267,TRUE,GNB1,-,FALSE,FALSE,-0,CDK11A,-110701,-,LCK,-30415970,+,WHOLE BLOOD
chr16,1848257,1848575,319,+,hg38,10,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+1848257,TRUE,MEIOB,-,FALSE,FALSE,-0,IGFALS,-53348,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,1853071,1853208,138,+,hg38,6,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17+1853071,TRUE,RPA1,+,FALSE,TRUE,0,TLCD2,-142702,-,None.found,Inf,None.found,WHOLE BLOOD
chr4,1955902,1956135,234,+,hg38,81,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr4+1955902,TRUE,NSD2,+,FALSE,TRUE,-0,NSD2,-0,+,RAP1GDS1,-96305472,+,WHOLE BLOOD
chr7,1956247,1956564,318,+,hg38,15,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr7+1956247,TRUE,MAD1L1,-,FALSE,FALSE,-0,MAD1L1,-0,-,None.found,Inf,None.found,WHOLE BLOOD
chr4,2001961,2002118,158,+,hg38,160,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr4+2001961,TRUE,NELFA,-,FALSE,FALSE,0,NSD2,19753,+,RAP1GDS1,-96259413,+,WHOLE BLOOD
chr16,2069851,2069996,146,-,hg38,157,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16-2069996,TRUE,TSC2,+,FALSE,FALSE,-0,TSC2,-0,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,2106203,2106345,143,+,hg38,177,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17+2106203,TRUE,SMG6,-,FALSE,FALSE,-0,SMG6,-0,-,None.found,Inf,None.found,WHOLE BLOOD
chr1,2262913,2263230,318,+,hg38,8,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr1+2262913,TRUE,SKI,+,FALSE,TRUE,0,SKI,0,+,LCK,-29988324,+,WHOLE BLOOD
chr16,2379516,2379663,148,+,hg38,85,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+2379516,TRUE,ABCA17P,+,TRUE,TRUE,0,ABCA3,-38769,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,2474050,2474315,266,-,hg38,103,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-2474315,TRUE,METTL16,-,FALSE,TRUE,0,SMG6,-170539,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,2484021,2484354,334,-,hg38,31,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-2484354,TRUE,METTL16,-,FALSE,TRUE,0,SMG6,-180578,-,None.found,Inf,None.found,WHOLE BLOOD
chr4,2564891,2565005,115,-,hg38,233,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr4-2565005,FALSE,RNF4,+,FALSE,FALSE,49145,SH3BP2,-228016,+,RAP1GDS1,-95696369,+,WHOLE BLOOD
chr17,2598398,2598772,375,-,hg38,18,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-2598772,TRUE,PAFAH1B1,+,FALSE,FALSE,0,SMG6,-294996,-,None.found,Inf,None.found,WHOLE BLOOD
chr20,2854454,2854629,176,-,hg38,139,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr20-2854629,TRUE,VPS16,+,FALSE,FALSE,-0,CDC25B,-932141,+,None.found,Inf,None.found,WHOLE BLOOD
chr16,2944434,2944576,143,+,hg38,144,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+2944434,TRUE,FLYWCH1,+,FALSE,TRUE,-0,CCNF,485575,+,None.found,Inf,None.found,WHOLE BLOOD
chr20,2956483,2956719,237,+,hg38,43,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr20+2956483,TRUE,PTPRA,+,FALSE,TRUE,-0,CDC25B,-830287,+,None.found,Inf,None.found,WHOLE BLOOD
chr11,2974121,2974337,217,+,hg38,85,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr11+2974121,TRUE,NAP1L4,-,FALSE,FALSE,0,CARS,26799,-,NUP98,700887,-,WHOLE BLOOD
chr20,3352388,3352580,193,+,hg38,152,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr20+3352388,TRUE,C20orf194,-,FALSE,FALSE,0,CDC25B,-434382,+,None.found,Inf,None.found,WHOLE BLOOD
chr11,3362803,3362854,52,+,hg38,175,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr11+3362803,TRUE,ZNF195,-,FALSE,FALSE,-0,CARS,-305351,-,NUP98,312205,-,WHOLE BLOOD
chr19,3399289,3399602,314,+,hg38,37,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+3399289,TRUE,NFIC,+,FALSE,TRUE,0,NFIC,0,+,TCF3,-1746959,-,WHOLE BLOOD
chr6,3543665,3543997,333,-,hg38,11,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr6-3543997,FALSE,LOC643327,+,FALSE,FALSE,74986,SLC22A23,-87437,-,BRD2,-29424661,+,WHOLE BLOOD
chr16,3846162,3846342,181,-,hg38,115,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16-3846342,TRUE,CREBBP,-,FALSE,TRUE,0,CREBBP,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,4149107,4149189,83,-,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-4149189,FALSE,CREB3L3,+,FALSE,FALSE,-4410,SH3GL1,211176,-,TCF3,-2496859,-,WHOLE BLOOD
chr17,4308788,4308865,78,-,hg38,70,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-4308865,TRUE,UBE2G1,-,FALSE,TRUE,-0,MYBBP1A,230029,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,4321982,4322213,232,+,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17+4321982,TRUE,UBE2G1,-,FALSE,FALSE,0,MYBBP1A,216912,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,4692241,4692520,280,+,hg38,3,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+4692241,TRUE,DPP9,-,FALSE,FALSE,-0,SH3GL1,-291672,-,TCF3,-3039911,-,WHOLE BLOOD
chr3,4722885,4722940,56,-,hg38,6,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr3-4722940,TRUE,ITPR1,+,FALSE,FALSE,-0,CNTN4,1664978,+,None.found,Inf,None.found,WHOLE BLOOD
chr10,4906582,4906848,267,+,hg38,120,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr10+4906582,TRUE,AKR1C6P,-,FALSE,FALSE,0,AKR1C3,-142182,+,KLF6,-1121300,-,WHOLE BLOOD
chr20,4907911,4907991,81,+,hg38,339,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr20+4907911,TRUE,SLC23A2,-,FALSE,FALSE,-0,RASSF2,-84265,-,None.found,Inf,None.found,WHOLE BLOOD
chr18,5095116,5095432,317,-,hg38,22,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr18-5095432,TRUE,LINC01892,+,FALSE,FALSE,-0,EPB41L3,296842,-,BCL2,58027912,-,WHOLE BLOOD
chr3,5158649,5158779,131,-,hg38,17,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr3-5158779,TRUE,ARL8B,+,FALSE,FALSE,-0,CNTN4,2100817,+,None.found,Inf,None.found,WHOLE BLOOD
chr11,5296039,5296525,487,-,hg38,3,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr11-5296525,FALSE,OR51B4,-,FALSE,TRUE,4487,RRM1,1157599,+,NUP98,-1498732,-,WHOLE BLOOD
chr17,5325729,5325804,76,-,hg38,226,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-5325804,TRUE,RABEP1,+,FALSE,FALSE,0,RABEP1,0,+,None.found,Inf,None.found,WHOLE BLOOD
chr5,5471423,5471524,102,-,hg38,166,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr5-5471524,TRUE,ICE1,+,FALSE,FALSE,-0,SLC6A3,-4026095,-,TLX3,-165837758,+,WHOLE BLOOD
chr17,5562416,5562538,123,-,hg38,240,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-5562538,TRUE,NLRP1,-,FALSE,TRUE,0,RABEP1,176197,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,5619699,5619979,281,-,hg38,55,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-5619979,TRUE,SAFB2,-,FALSE,TRUE,0,RFX2,373183,-,TCF3,-3967649,-,WHOLE BLOOD
chr12,5937799,5938115,317,+,hg38,51,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12+5937799,TRUE,ANO2,-,FALSE,FALSE,0,CD9,-261906,+,CCND2,1632442,+,WHOLE BLOOD
chr12,6001725,6002101,377,-,hg38,2,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-6002101,TRUE,VWF,-,FALSE,TRUE,-0,CD9,-197604,+,CCND2,1696744,+,WHOLE BLOOD
chr19,6147650,6147997,348,-,hg38,12,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-6147997,TRUE,ACSBG2,+,FALSE,FALSE,0,RFX2,-37343,-,TCF3,-4495667,-,WHOLE BLOOD
chrX,6184172,6184483,312,-,hg38,43,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chrX-6184483,TRUE,NLGN4X,-,FALSE,TRUE,0,MID1,4260825,-,MTCP1,148879549,-,WHOLE BLOOD
chr2,6398944,6399091,148,-,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr2-6399091,FALSE,LINC01247,-,FALSE,TRUE,-23668,SOX11,697705,+,BCL11A,54052074,-,WHOLE BLOOD
chr9,6417975,6418022,48,+,hg38,175,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr9+6417975,TRUE,UHRF2,+,FALSE,TRUE,0,UHRF2,0,+,JAK2,1289791,+,WHOLE BLOOD
chr12,6455433,6455519,87,-,hg38,287,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-6455519,TRUE,TAPBPL,+,FALSE,FALSE,0,NCAPD2,-38611,+,CCND2,2150162,+,WHOLE BLOOD
chr5,6639661,6639992,332,-,hg38,36,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr5-6639992,TRUE,SRD5A1,+,FALSE,FALSE,0,CTNND2,4331846,-,TLX3,-164669290,+,WHOLE BLOOD
chr12,6676556,6676849,294,-,hg38,76,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-6676849,TRUE,ZNF384,-,FALSE,TRUE,-0,ZNF384,-0,-,CCND2,2371492,+,WHOLE BLOOD
chr11,6725626,6725882,257,+,hg38,57,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr11+6725626,FALSE,GVINP1,-,FALSE,FALSE,-3746,EIF3F,-1261692,+,LMO1,1498676,-,WHOLE BLOOD
chr19,6845504,6846054,551,+,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+6845504,TRUE,VAV1,+,FALSE,TRUE,-0,VAV1,-0,+,TCF3,-5193174,-,WHOLE BLOOD
chr11,6944457,6944834,378,+,hg38,9,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr11+6944457,TRUE,ZNF215,+,FALSE,TRUE,0,EIF3F,-1042861,+,LMO1,1279845,-,WHOLE BLOOD
chr12,7010679,7010730,52,-,hg38,247,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-7010730,TRUE,LPCAT3,-,FALSE,TRUE,0,PTPN6,49413,+,CCND2,2705373,+,WHOLE BLOOD
chr12,7205786,7205886,101,-,hg38,294,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-7205886,TRUE,PEX5,+,FALSE,FALSE,-0,PTPN6,244569,+,CCND2,2900529,+,WHOLE BLOOD
chr21,7231670,7231704,35,-,hg38,2,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr21-7231704,FALSE,LOC102724843,+,FALSE,FALSE,144473,NRIP1,7729529,-,OLIG2,-25794202,+,WHOLE BLOOD
chr12,7480343,7480500,158,+,hg38,11,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12+7480343,TRUE,CD163,-,FALSE,FALSE,-0,PTPN6,519026,+,CCND2,3174986,+,WHOLE BLOOD
chr12,7576739,7576928,190,+,hg38,65,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12+7576739,FALSE,APOBEC1,-,FALSE,FALSE,72659,C3AR1,480103,-,CCND2,3271382,+,WHOLE BLOOD
chr7,7696277,7696490,214,-,hg38,72,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr7-7696490,TRUE,"RPA3,UMAD1","-,+",FALSE,FALSE,-0,COL28A1,-160660,-,None.found,Inf,None.found,WHOLE BLOOD
chr18,7918332,7918649,318,+,hg38,39,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr18+7918332,TRUE,PTPRM,+,FALSE,TRUE,0,EPB41L3,-2289340,-,BCL2,55205012,-,WHOLE BLOOD
chr19,8460635,8460957,323,-,hg38,23,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-8460957,TRUE,HNRNPM,+,FALSE,FALSE,0,ACTL9,236438,-,LYL1,4638069,-,WHOLE BLOOD
chrX,8532355,8532711,357,+,hg38,24,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chrX+8532355,TRUE,ANOS1,-,TRUE,FALSE,-0,MID1,1912953,-,MTCP1,146531677,-,WHOLE BLOOD
chr17,8591633,8591665,33,+,hg38,266,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17+8591633,TRUE,MYH10,-,FALSE,FALSE,0,RPL26,-208382,-,None.found,Inf,None.found,WHOLE BLOOD
chr17,8603346,8603664,319,-,hg38,39,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17-8603664,TRUE,MYH10,-,FALSE,TRUE,0,RPL26,-220413,-,None.found,Inf,None.found,WHOLE BLOOD
chr1,8617467,8617658,192,+,hg38,12,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr1+8617467,TRUE,RERE,-,FALSE,FALSE,0,RERE,0,-,LCK,-23633770,+,WHOLE BLOOD
chr1,8676142,8676329,188,-,hg38,224,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr1-8676329,TRUE,RERE,-,FALSE,TRUE,0,RERE,0,-,LCK,-23574908,+,WHOLE BLOOD
chr3,9122506,9122588,83,+,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr3+9122506,TRUE,SRGAP3,-,FALSE,FALSE,0,SRGAP3,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr19,9424016,9424204,189,-,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-9424204,TRUE,ZNF266,-,FALSE,TRUE,0,MUC16,-442861,-,LYL1,3674822,-,WHOLE BLOOD
chr17,9480379,9480463,85,+,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr17+9480379,TRUE,STX8,-,FALSE,FALSE,0,GAS7,430228,-,None.found,Inf,None.found,WHOLE BLOOD
chr7,9481410,9481664,255,-,hg38,129,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr7-9481664,FALSE,PER4,+,FALSE,FALSE,-152604,COL28A1,-1945834,-,None.found,Inf,None.found,WHOLE BLOOD
chr2,9521490,9521576,87,+,hg38,7,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr2+9521490,TRUE,ADAM17,-,FALSE,FALSE,-0,ID2,837036,+,BCL11A,50929675,-,WHOLE BLOOD
chr19,9645432,9645611,180,-,hg38,11,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-9645611,FALSE,ZNF562,-,FALSE,TRUE,3041,DNMT1,487731,-,LYL1,3453415,-,WHOLE BLOOD
chr19,9645435,9645611,177,-,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-9645611,FALSE,ZNF562,-,FALSE,TRUE,3041,DNMT1,487731,-,LYL1,3453415,-,WHOLE BLOOD
chr12,9676231,9676385,155,-,hg38,74,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12-9676385,TRUE,CLEC2D,+,FALSE,FALSE,0,CD69,76099,-,ETV6,-1973467,+,WHOLE BLOOD
chr1,9801518,9802010,493,+,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr1+9801518,TRUE,CLSTN1,-,FALSE,FALSE,0,PIK3CD,72592,+,LCK,-22449719,+,WHOLE BLOOD
chr12,9828997,9829166,170,+,hg38,4,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12+9828997,TRUE,KLRF1,+,FALSE,TRUE,0,CD69,-68095,-,ETV6,-1820855,+,WHOLE BLOOD
chr12,10109630,10109770,141,+,hg38,277,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr12+10109630,FALSE,CLEC7A,-,FALSE,FALSE,7145,KLRK1,262721,-,ETV6,-1540222,+,WHOLE BLOOD
chr19,10187754,10187834,81,+,hg38,157,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+10187754,TRUE,DNMT1,-,FALSE,FALSE,0,DNMT1,0,-,LYL1,2911272,-,WHOLE BLOOD
chr19,10661983,10662302,320,+,hg38,65,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+10661983,TRUE,ILF3,+,FALSE,TRUE,0,CDKN2D,-93003,-,LYL1,2437043,-,WHOLE BLOOD
chr19,10669950,10670255,306,-,hg38,65,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-10670255,TRUE,ILF3,+,FALSE,FALSE,0,CDKN2D,-101275,-,LYL1,2428771,-,WHOLE BLOOD
chr19,10673025,10673310,286,-,hg38,146,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-10673310,TRUE,ILF3,+,FALSE,FALSE,0,CDKN2D,-104330,-,LYL1,2425716,-,WHOLE BLOOD
chr19,10729639,10729843,205,-,hg38,91,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-10729843,TRUE,DNM2,+,FALSE,FALSE,0,CDKN2D,-160863,-,LYL1,2369183,-,WHOLE BLOOD
chr19,10735231,10735295,65,+,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+10735231,TRUE,DNM2,+,FALSE,TRUE,0,CDKN2D,-166251,-,LYL1,2363795,-,WHOLE BLOOD
chr19,10774417,10774640,224,+,hg38,32,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+10774417,TRUE,DNM2,+,FALSE,TRUE,0,SMARCA4,-186503,+,LYL1,2324609,-,WHOLE BLOOD
chr19,11183100,11183386,287,-,hg38,68,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-11183386,TRUE,KANK2,-,FALSE,TRUE,0,SMARCA4,121103,+,LYL1,1915640,-,WHOLE BLOOD
chr10,11596117,11596448,332,-,hg38,4,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr10-11596448,TRUE,USP6NL,-,FALSE,TRUE,0,GATA3,3521246,+,KLF6,-7811166,-,WHOLE BLOOD
chr16,11896201,11896273,73,-,hg38,170,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16-11896273,TRUE,GSPT1,-,FALSE,TRUE,0,GSPT1,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr10,11996833,11997034,202,-,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr10-11997034,TRUE,UPF2,-,FALSE,TRUE,0,GATA3,3921832,+,KLF6,-8211752,-,WHOLE BLOOD
chr19,12112863,12113149,287,+,hg38,37,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19+12112863,TRUE,ZNF788P,+,TRUE,TRUE,-0,ZNF442,236506,-,LYL1,986163,-,WHOLE BLOOD
