seqnames,start,end,width,strand,refGenome,reads,patient,GTSP,cellType,timePoint,timePointDays,timePointMonths,dataSource,posid,estAbund,relAbund,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,readsPerSample,readsRelAbund,totalSampleFrags,include,labeledNearestFeature,posidLabel
chr1,118032081,118032081,1,-,hg38,74,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-118032081,1,0.020116676725005028,TRUE,SPAG17,-,FALSE,TRUE,-0,VTCN1,-821120,-,PBX1,-46527277,+,377459,0.019604778267308505,4971,yes,SPAG17 *,"SPAG17 *
chr1-118032081"
chr1,1344107,1344107,1,-,hg38,72,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-1344107,1,0.020116676725005028,TRUE,DVL1,-,FALSE,TRUE,0,MIB2,-271306,+,LCK,-30907130,+,377459,0.019074919395219082,4971,yes,DVL1 *,"DVL1 *
chr1-1344107"
chr1,143213386,143213386,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-143213386,1,0.020116676725005028,FALSE,RNVU1-17,-,FALSE,TRUE,486068,PIAS3,2635134,-,PBX1,-21345972,+,377459,2.649294360447095e-4,4971,yes,RNVU1-17 ,"RNVU1-17 
chr1-143213386"
chr1,146678900,146678900,1,-,hg38,23,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-146678900,1,0.020116676725005028,TRUE,HYDIN2,+,FALSE,FALSE,-0,PIAS3,-819818,-,PBX1,-17880458,+,377459,0.0060933770290283185,4971,yes,HYDIN2 *,"HYDIN2 *
chr1-146678900"
chr1,150023109,150023109,1,-,hg38,18,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-150023109,1,0.020116676725005028,FALSE,OTUD7B,-,FALSE,TRUE,-12371,APH1A,242288,-,PBX1,-14536249,+,377459,0.004768729848804771,4971,yes,OTUD7B ,"OTUD7B 
chr1-150023109"
chr1,150110518,150110518,1,-,hg38,9,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-150110518,1,0.020116676725005028,TRUE,VPS45,+,TRUE,FALSE,-0,APH1A,154879,-,PBX1,-14448840,+,377459,0.0023843649244023853,4971,yes,VPS45 *,"VPS45 *
chr1-150110518"
chr1,150302833,150302833,1,-,hg38,218,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-150302833,1,0.020116676725005028,TRUE,MRPS21,+,FALSE,FALSE,-0,APH1A,-33623,-,PBX1,-14256525,+,377459,0.05775461705774667,4971,yes,MRPS21 *~,"MRPS21 *~
chr1-150302833"
chr1,150396502,150396502,1,-,hg38,29,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-150396502,1,0.020116676725005028,TRUE,RPRD2,+,FALSE,FALSE,0,ECM1,-111507,+,PBX1,-14162856,+,377459,0.007682953645296576,4971,yes,RPRD2 *,"RPRD2 *
chr1-150396502"
chr1,150633046,150633046,1,-,hg38,77,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-150633046,1,0.020116676725005028,FALSE,ENSA,-,FALSE,TRUE,-3423,MCL1,-53307,-,PBX1,-13926312,+,377459,0.020399566575442632,4971,yes,ENSA ,"ENSA 
chr1-150633046"
chr1,150693430,150693430,1,-,hg38,151,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-150693430,1,0.020116676725005028,TRUE,GOLPH3L,-,FALSE,TRUE,0,MCL1,-113691,-,PBX1,-13865928,+,377459,0.04000434484275113,4971,yes,GOLPH3L *,"GOLPH3L *
chr1-150693430"
chr1,150788670,150788670,1,-,hg38,185,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-150788670,1,0.020116676725005028,FALSE,CTSK,-,FALSE,TRUE,7536,ARNT,21033,-,PBX1,-13770688,+,377459,0.04901194566827126,4971,yes,CTSK ~,"CTSK ~
chr1-150788670"
chr1,151417821,151417821,1,-,hg38,6,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-151417821,1,0.020116676725005028,TRUE,POGZ,-,FALSE,TRUE,-0,RFX5,-70527,-,PBX1,-13141537,+,377459,0.001589576616268257,4971,yes,POGZ *,"POGZ *
chr1-151417821"
chr1,151636034,151636034,1,-,hg38,89,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-151636034,1,0.020116676725005028,TRUE,SNX27,+,FALSE,FALSE,0,RORC,170035,-,PBX1,-12923324,+,377459,0.023578719807979143,4971,yes,SNX27 *,"SNX27 *
chr1-151636034"
chr1,151928409,151928409,1,-,hg38,50,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-151928409,1,0.020116676725005028,FALSE,THEM4,-,FALSE,TRUE,-18523,S100A10,54499,-,PBX1,-12630949,+,377459,0.013246471802235473,4971,yes,THEM4 ,"THEM4 
chr1-151928409"
chr1,153597262,153597262,1,-,hg38,24,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-153597262,1,0.020116676725005028,FALSE,S100A16,-,FALSE,TRUE,9619,S100A14,16991,-,PBX1,-10962096,+,377459,0.006358306465073028,4971,yes,S100A16 ~,"S100A16 ~
chr1-153597262"
chr1,153867268,153867268,1,-,hg38,45,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-153867268,1,0.020116676725005028,TRUE,GATAD2B,-,FALSE,TRUE,0,CRTC2,80402,-,PBX1,-10692090,+,377459,0.011921824622011927,4971,yes,GATAD2B *,"GATAD2B *
chr1-153867268"
chr1,153889287,153889287,1,-,hg38,7,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-153889287,1,0.020116676725005028,TRUE,GATAD2B,-,FALSE,TRUE,0,CRTC2,58383,-,PBX1,-10670071,+,377459,0.0018545060523129666,4971,yes,GATAD2B *,"GATAD2B *
chr1-153889287"
chr1,154019446,154019446,1,-,hg38,10,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-154019446,1,0.020116676725005028,TRUE,NUP210L,-,FALSE,TRUE,-0,CRTC2,-60789,-,PBX1,-10539912,+,377459,0.002649294360447095,4971,yes,NUP210L *,"NUP210L *
chr1-154019446"
chr1,154240040,154240040,1,-,hg38,125,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-154240040,1,0.020116676725005028,TRUE,UBAP2L,+,FALSE,FALSE,0,TPM3,-47904,-,PBX1,-10319318,+,377459,0.033116179505588685,4971,yes,UBAP2L *~,"UBAP2L *~
chr1-154240040"
chr1,155246571,155246571,1,-,hg38,61,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155246571,1,0.020116676725005028,FALSE,FAM189B,-,FALSE,TRUE,632,THBS3,-38589,-,PBX1,-9312787,+,377459,0.01616069559872728,4971,yes,FAM189B ~,"FAM189B ~
chr1-155246571"
chr1,155437680,155437680,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155437680,1,0.020116676725005028,TRUE,ASH1L,-,FALSE,TRUE,-0,THBS3,-229698,-,PBX1,-9121678,+,377459,2.649294360447095e-4,4971,yes,ASH1L *,"ASH1L *
chr1-155437680"
chr1,155440792,155440792,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155440792,1,0.020116676725005028,TRUE,ASH1L,-,FALSE,TRUE,-0,THBS3,-232810,-,PBX1,-9118566,+,377459,2.649294360447095e-4,4971,yes,ASH1L *,"ASH1L *
chr1-155440792"
chr1,155523297,155523297,1,-,hg38,33,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155523297,2,0.040233353450010056,TRUE,ASH1L,-,FALSE,TRUE,0,THBS3,-315315,-,PBX1,-9036061,+,377459,0.008742671389475412,4971,yes,ASH1L *,"ASH1L *
chr1-155523297"
chr1,155525240,155525240,1,-,hg38,212,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155525240,1,0.020116676725005028,TRUE,ASH1L,-,FALSE,TRUE,0,THBS3,-317258,-,PBX1,-9034118,+,377459,0.05616504044147841,4971,yes,ASH1L *,"ASH1L *
chr1-155525240"
chr1,155534833,155534833,1,-,hg38,2,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155534833,1,0.020116676725005028,TRUE,ASH1L,-,FALSE,TRUE,0,THBS3,-326851,-,PBX1,-9024525,+,377459,5.29858872089419e-4,4971,yes,ASH1L *,"ASH1L *
chr1-155534833"
chr1,155795642,155795642,1,-,hg38,11,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155795642,1,0.020116676725005028,TRUE,GON4L,-,FALSE,TRUE,-0,ARHGEF2,151195,-,PBX1,-8763716,+,377459,0.0029142237964918044,4971,yes,GON4L *,"GON4L *
chr1-155795642"
chr1,155827205,155827205,1,-,hg38,65,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155827205,1,0.020116676725005028,TRUE,GON4L,-,FALSE,TRUE,0,ARHGEF2,119632,-,PBX1,-8732153,+,377459,0.017220413342906117,4971,yes,GON4L *,"GON4L *
chr1-155827205"
chr1,155840211,155840211,1,-,hg38,4,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155840211,1,0.020116676725005028,TRUE,GON4L,-,FALSE,TRUE,0,ARHGEF2,106626,-,PBX1,-8719147,+,377459,0.001059717744178838,4971,yes,GON4L *,"GON4L *
chr1-155840211"
chr1,155900440,155900440,1,-,hg38,2,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-155900440,1,0.020116676725005028,TRUE,RIT1,-,TRUE,TRUE,-0,ARHGEF2,46397,-,PBX1,-8658918,+,377459,5.29858872089419e-4,4971,yes,RIT1 *~,"RIT1 *~
chr1-155900440"
chr1,156205225,156205225,1,-,hg38,2,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-156205225,1,0.020116676725005028,TRUE,SLC25A44,+,FALSE,FALSE,-0,RHBG,-163962,+,PBX1,-8354133,+,377459,5.29858872089419e-4,4971,yes,SLC25A44 *,"SLC25A44 *
chr1-156205225"
chr1,1562311,1562311,1,-,hg38,230,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-1562311,1,0.020116676725005028,TRUE,SSU72,-,FALSE,TRUE,0,MIB2,-53102,+,LCK,-30688926,+,377459,0.06093377029028318,4971,yes,SSU72 *,"SSU72 *
chr1-1562311"
chr1,15631160,15631160,1,-,hg38,43,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-15631160,1,0.020116676725005028,TRUE,DDI2,+,FALSE,FALSE,0,CASP9,-106369,-,LCK,-16620077,+,377459,0.011391965749922508,4971,yes,DDI2 *,"DDI2 *
chr1-15631160"
chr1,156793838,156793838,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-156793838,1,0.020116676725005028,TRUE,PRCC,+,FALSE,FALSE,-0,PRCC,-0,+,PBX1,-7765520,+,377459,2.649294360447095e-4,4971,yes,PRCC *~,"PRCC *~
chr1-156793838"
chr1,1569173,1569173,1,-,hg38,3,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-1569173,1,0.020116676725005028,TRUE,SSU72,-,FALSE,TRUE,0,MIB2,-46240,+,LCK,-30682064,+,377459,7.947883081341285e-4,4971,yes,SSU72 *~,"SSU72 *~
chr1-1569173"
chr1,15866809,15866809,1,-,hg38,173,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-15866809,1,0.020116676725005028,TRUE,SPEN,+,FALSE,FALSE,0,EPHA2,257526,-,LCK,-16384428,+,377459,0.045832792435734744,4971,yes,SPEN *,"SPEN *
chr1-15866809"
chr1,15877585,15877585,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-15877585,1,0.020116676725005028,TRUE,SPEN,+,FALSE,FALSE,0,EPHA2,246750,-,LCK,-16373652,+,377459,2.649294360447095e-4,4971,yes,SPEN *,"SPEN *
chr1-15877585"
chr1,15903406,15903406,1,-,hg38,124,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-15903406,1,0.020116676725005028,TRUE,SPEN,+,FALSE,FALSE,-0,EPHA2,220929,-,LCK,-16347831,+,377459,0.03285125006954398,4971,yes,SPEN *,"SPEN *
chr1-15903406"
chr1,159046685,159046685,1,-,hg38,57,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-159046685,1,0.020116676725005028,TRUE,IFI16,+,FALSE,FALSE,-0,IGSF8,1044652,-,PBX1,-5512673,+,377459,0.015100977854548442,4971,yes,IFI16 *,"IFI16 *
chr1-159046685"
chr1,160556018,160556018,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-160556018,1,0.020116676725005028,TRUE,CD84,-,FALSE,TRUE,-0,SLAMF6,-32755,-,PBX1,-4003340,+,377459,2.649294360447095e-4,4971,yes,CD84 *~,"CD84 *~
chr1-160556018"
chr1,160579102,160579102,1,-,hg38,201,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-160579102,1,0.020116676725005028,TRUE,CD84,-,FALSE,TRUE,0,SLAMF6,-55839,-,PBX1,-3980256,+,377459,0.053250816644986605,4971,yes,CD84 *,"CD84 *
chr1-160579102"
chr1,160738621,160738621,1,-,hg38,334,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-160738621,1,0.020116676725005028,FALSE,SLAMF7,+,FALSE,FALSE,-434,SLAMF6,-215358,-,PBX1,-3820737,+,377459,0.08848643163893298,4971,yes,SLAMF7 ,"SLAMF7 
chr1-160738621"
chr1,16445885,16445885,1,-,hg38,177,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-16445885,1,0.020116676725005028,TRUE,NECAP2,+,FALSE,FALSE,0,EPHA2,-289775,-,LCK,-15805352,+,377459,0.04689251017991358,4971,yes,NECAP2 *,"NECAP2 *
chr1-16445885"
chr1,168007083,168007083,1,-,hg38,3,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-168007083,1,0.020116676725005028,TRUE,DCAF6,+,FALSE,FALSE,-0,GPR161,72457,-,PBX1,3121035,+,377459,7.947883081341285e-4,4971,yes,DCAF6 *,"DCAF6 *
chr1-168007083"
chr1,169638236,169638236,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-169638236,1,0.020116676725005028,FALSE,SELP,-,FALSE,TRUE,-8096,SELE,84402,-,PBX1,4752188,+,377459,2.649294360447095e-4,4971,yes,SELP ,"SELP 
chr1-169638236"
chr1,169817632,169817632,1,-,hg38,299,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-169817632,1,0.020116676725005028,TRUE,C1orf112,+,FALSE,FALSE,0,SELE,-83552,-,PBX1,4931584,+,377459,0.07921390137736814,4971,yes,C1orf112 *,"C1orf112 *
chr1-169817632"
chr1,169901017,169901017,1,-,hg38,4,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-169901017,1,0.020116676725005028,FALSE,SCYL3,-,FALSE,TRUE,-7057,SELE,-166937,-,PBX1,5014969,+,377459,0.001059717744178838,4971,yes,SCYL3 ,"SCYL3 
chr1-169901017"
chr1,170477525,170477525,1,-,hg38,17,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-170477525,1,0.020116676725005028,TRUE,LOC101928650,-,FALSE,TRUE,-0,PRRX1,-186645,+,PBX1,5591477,+,377459,0.004503800412760062,4971,yes,LOC101928650 *,"LOC101928650 *
chr1-170477525"
chr1,171936393,171936393,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-171936393,1,0.020116676725005028,TRUE,DNM3,+,FALSE,FALSE,0,TNFSF18,1104825,-,PBX1,7050345,+,377459,2.649294360447095e-4,4971,yes,DNM3 *,"DNM3 *
chr1-171936393"
chr1,174536871,174536871,1,-,hg38,150,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-174536871,1,0.020116676725005028,TRUE,RABGAP1L,+,FALSE,FALSE,0,RABGAP1L,0,+,PBX1,9650823,+,377459,0.039739415406706426,4971,yes,RABGAP1L *~,"RABGAP1L *~
chr1-174536871"
chr1,175242843,175242843,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-175242843,1,0.020116676725005028,FALSE,KIAA0040,-,FALSE,TRUE,-49749,TNR,79954,-,PBX1,10356795,+,377459,2.649294360447095e-4,4971,yes,KIAA0040 ,"KIAA0040 
chr1-175242843"
chr1,176024776,176024776,1,-,hg38,6,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-176024776,1,0.020116676725005028,TRUE,COP1,-,FALSE,TRUE,-0,TNR,-281159,-,PBX1,11138728,+,377459,0.001589576616268257,4971,yes,COP1 *,"COP1 *
chr1-176024776"
chr1,176083113,176083113,1,-,hg38,3,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-176083113,1,0.020116676725005028,TRUE,COP1,-,FALSE,TRUE,0,TNR,-339496,-,PBX1,11197065,+,377459,7.947883081341285e-4,4971,yes,COP1 *,"COP1 *
chr1-176083113"
chr1,178368550,178368550,1,-,hg38,101,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-178368550,1,0.020116676725005028,TRUE,RASAL2,+,FALSE,FALSE,-0,RASAL2,-0,+,PBX1,13482502,+,377459,0.026757873040515658,4971,yes,RASAL2 *~,"RASAL2 *~
chr1-178368550"
chr1,178511282,178511282,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-178511282,1,0.020116676725005028,FALSE,TEX35,+,FALSE,FALSE,-1793,RASAL2,31767,+,PBX1,13625234,+,377459,2.649294360447095e-4,4971,yes,TEX35 ~,"TEX35 ~
chr1-178511282"
chr1,1828563,1828563,1,-,hg38,15,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-1828563,1,0.020116676725005028,TRUE,GNB1,-,FALSE,TRUE,-0,CDK11A,-103997,-,LCK,-30422674,+,377459,0.003973941540670642,4971,yes,GNB1 *,"GNB1 *
chr1-1828563"
chr1,1854830,1854830,1,-,hg38,60,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-1854830,1,0.020116676725005028,TRUE,GNB1,-,FALSE,TRUE,0,CDK11A,-130264,-,LCK,-30396407,+,377459,0.015895766162682567,4971,yes,GNB1 *,"GNB1 *
chr1-1854830"
chr1,186361464,186361464,1,-,hg38,325,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-186361464,1,0.020116676725005028,TRUE,TPR,-,FALSE,TRUE,0,TPR,0,-,PBX1,21475416,+,377459,0.08610206671453059,4971,yes,TPR *~,"TPR *~
chr1-186361464"
chr1,1870273,1870273,1,-,hg38,75,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-1870273,1,0.020116676725005028,TRUE,GNB1,-,FALSE,TRUE,0,CDK11A,-145707,-,LCK,-30380964,+,377459,0.019869707703353213,4971,yes,GNB1 *,"GNB1 *
chr1-1870273"
chr1,187455141,187455141,1,-,hg38,51,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-187455141,1,0.020116676725005028,TRUE,LINC01037,+,FALSE,FALSE,0,PLA2G4A,466159,+,PBX1,22569093,+,377459,0.013511401238280185,4971,yes,LINC01037 *,"LINC01037 *
chr1-187455141"
chr1,188411861,188411861,1,-,hg38,14,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-188411861,1,0.020116676725005028,FALSE,LINC01037,+,FALSE,FALSE,934638,PLA2G4A,1422879,+,PBX1,23525813,+,377459,0.003709012104625933,4971,yes,LINC01037 ,"LINC01037 
chr1-188411861"
chr1,190910816,190910816,1,-,hg38,41,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-190910816,1,0.020116676725005028,FALSE,LINC01720,+,FALSE,FALSE,109157,RGS1,-1664909,+,PBX1,26024768,+,377459,0.010862106877833089,4971,yes,LINC01720 ,"LINC01720 
chr1-190910816"
chr1,191328043,191328043,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-191328043,1,0.020116676725005028,FALSE,LINC01680,-,FALSE,TRUE,-99544,RGS1,-1247682,+,PBX1,26441995,+,377459,2.649294360447095e-4,4971,yes,LINC01680 ,"LINC01680 
chr1-191328043"
chr1,191364101,191364101,1,-,hg38,3,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-191364101,1,0.020116676725005028,FALSE,LINC01680,-,FALSE,TRUE,-135602,RGS1,-1211624,+,PBX1,26478053,+,377459,7.947883081341285e-4,4971,yes,LINC01680 ,"LINC01680 
chr1-191364101"
chr1,19137035,19137035,1,-,hg38,42,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-19137035,1,0.020116676725005028,TRUE,UBR4,-,FALSE,TRUE,-0,PAX7,388168,+,LCK,-13114202,+,377459,0.011127036313877799,4971,yes,UBR4 *,"UBR4 *
chr1-19137035"
chr1,192051761,192051761,1,-,hg38,14,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-192051761,1,0.020116676725005028,FALSE,RGS18,+,FALSE,FALSE,-106699,RGS1,-523964,+,PBX1,27165713,+,377459,0.003709012104625933,4971,yes,RGS18 ,"RGS18 
chr1-192051761"
chr1,192649277,192649277,1,-,hg38,7,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-192649277,1,0.020116676725005028,TRUE,RGS13,+,FALSE,FALSE,-0,RGS1,69247,+,PBX1,27763229,+,377459,0.0018545060523129666,4971,yes,RGS13 *,"RGS13 *
chr1-192649277"
chr1,193095417,193095417,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-193095417,1,0.020116676725005028,FALSE,GLRX2,-,FALSE,TRUE,1046,CDC73,-26539,+,PBX1,28209369,+,377459,2.649294360447095e-4,4971,yes,GLRX2 ~,"GLRX2 ~
chr1-193095417"
chr1,193156493,193156493,1,-,hg38,132,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-193156493,1,0.020116676725005028,TRUE,CDC73,+,FALSE,FALSE,0,CDC73,0,+,PBX1,28270445,+,377459,0.03497068555790165,4971,yes,CDC73 *~,"CDC73 *~
chr1-193156493"
chr1,194133560,194133560,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-194133560,1,0.020116676725005028,FALSE,LINC01031,+,FALSE,FALSE,767606,CDC73,878744,+,PBX1,29247512,+,377459,2.649294360447095e-4,4971,yes,LINC01031 ,"LINC01031 
chr1-194133560"
chr1,195920339,195920339,1,-,hg38,57,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-195920339,1,0.020116676725005028,FALSE,LINC01724,-,FALSE,TRUE,124539,ASPM,1163786,-,PBX1,31034291,+,377459,0.015100977854548442,4971,yes,LINC01724 ,"LINC01724 
chr1-195920339"
